OCRE Value,Should be,BM URI,note
Abundantia,,http://collection.britishmuseum.org/id/person-institution/64218,
Achaea,,http://collection.britishmuseum.org/id/person-institution/176463,
Aegyptos,,,
Aeneas,,http://collection.britishmuseum.org/id/person-institution/56894,
Aequitas,,http://collection.britishmuseum.org/id/person-institution/85985,
Aesculapius,Asclepius,http://collection.britishmuseum.org/id/person-institution/57049,
Aeternitas,,,
Africa,,,
Alexandria,,,
Amphinomus,,http://collection.britishmuseum.org/id/person-institution/142515,
Anapias,,http://collection.britishmuseum.org/id/person-institution/142516,
Anchises,,http://collection.britishmuseum.org/id/person-institution/56951,
Annona,,,
Apollo,,http://collection.britishmuseum.org/id/person-institution/56988,
Apollo Citharodeus,,http://collection.britishmuseum.org/id/person-institution/56988,
Apollo Didymeus,,http://collection.britishmuseum.org/id/person-institution/56988,
Arabia,,,
Argos,,http://collection.britishmuseum.org/id/person-institution/132168,
Ariadne,,http://collection.britishmuseum.org/id/person-institution/57016,
Armenia,,,
Ascanius,,http://collection.britishmuseum.org/id/person-institution/57048,
Asclepius,,http://collection.britishmuseum.org/id/person-institution/57049,
Asia,,,
Aurora,,,
Bacchus,,http://collection.britishmuseum.org/id/person-institution/57949,
Bithynia,,,
Bona Mens,,http://collection.britishmuseum.org/id/person-institution/198685,
Bonus Eventus,,http://collection.britishmuseum.org/id/person-institution/57291,
Britannia,,,
Cappadocia,,,
Carthago,,,
Castor,,http://collection.britishmuseum.org/id/person-institution/57951,
Cerberus,,http://collection.britishmuseum.org/id/person-institution/57603,
Ceres,,http://collection.britishmuseum.org/id/person-institution/57930,
Cilicia,,,
Clementia,,,
Commodus,[delete],,
Concordia,,http://collection.britishmuseum.org/id/person-institution/57638,
Constantia,,,
Cupid,,http://collection.britishmuseum.org/id/person-institution/57655,
Cybele,,http://collection.britishmuseum.org/id/person-institution/57657,
Dacia,,,
Dacia?,,,
Danuvius,,,
Dea Caelestis,,http://collection.britishmuseum.org/id/person-institution/188733,
Deus Sol Invictus,Sol Invictus,http://collection.britishmuseum.org/id/person-institution/58616,
Diana,,http://collection.britishmuseum.org/id/person-institution/57039,
Diana Ephesia,,http://collection.britishmuseum.org/id/person-institution/57039,
Diana Lucifera,,http://collection.britishmuseum.org/id/person-institution/57039,
Diana of Perga,Diana of Perge,http://collection.britishmuseum.org/id/person-institution/57039,
Diana of Perge,,http://collection.britishmuseum.org/id/person-institution/57039,
Dioscuri,,http://collection.britishmuseum.org/id/person-institution/57951,
Elagabal,[delete],,
Euphrates,,,
Fecunditas,,http://collection.britishmuseum.org/id/person-institution/187735,
Felicitas,,http://collection.britishmuseum.org/id/person-institution/58247,
Feronia,,http://collection.britishmuseum.org/id/person-institution/58248,
Fides,,http://collection.britishmuseum.org/id/person-institution/69305,
Fides Militaris,Fides Militum,,
Fides Militum,,http://collection.britishmuseum.org/id/person-institution/69305,
Flora,,http://collection.britishmuseum.org/id/person-institution/69649,
Fortuna,,http://collection.britishmuseum.org/id/person-institution/58260,
Fortuna Felix,,http://collection.britishmuseum.org/id/person-institution/58260,
Fortuna Victrix,,http://collection.britishmuseum.org/id/person-institution/58260,
Fortuna-Spes,[split],,
Fortuna?,,,
Four Seasons,,http://collection.britishmuseum.org/id/person-institution/71928,
Gallia,,,
Genius,,http://collection.britishmuseum.org/id/person-institution/58396,
Genius Senatus,Genius of the Senate,http://collection.britishmuseum.org/id/person-institution/58396,
Genius of Lugdunum,,http://collection.britishmuseum.org/id/person-institution/58396,
Genius of the Roman People,,http://collection.britishmuseum.org/id/person-institution/58396,
Genius of the Senate,,http://collection.britishmuseum.org/id/person-institution/58396,
Germania,,,
Graces,Three Graces,http://collection.britishmuseum.org/id/person-institution/58409,
Hercules,,http://collection.britishmuseum.org/id/person-institution/58628,
Hilaritas,,,
Hispania,,,
Honos,,http://collection.britishmuseum.org/id/person-institution/92677,
Horus,,http://collection.britishmuseum.org/id/person-institution/53770,
Indulgentia,,http://collection.britishmuseum.org/id/person-institution/178090,
Isis,,http://collection.britishmuseum.org/id/person-institution/54025,
Isis Pharia,,http://collection.britishmuseum.org/id/person-institution/54025,
Italia,,,
Italy,Italia,,
Iulus,Julus,,
Iustitia,Justitia,,
Janus,,http://collection.britishmuseum.org/id/person-institution/58896,
Janus Quadrifons,,http://collection.britishmuseum.org/id/person-institution/58896,
Jucunditas,,,
Judaea,,,
Juno,,http://collection.britishmuseum.org/id/person-institution/58624,
Juno Moneta,,http://collection.britishmuseum.org/id/person-institution/58624,
Juno Sispita,Juno Sospita,,
Juno Sospita,,http://collection.britishmuseum.org/id/person-institution/58624,
Jupiter,,http://collection.britishmuseum.org/id/person-institution/58921,
Jupiter Ammon,,http://collection.britishmuseum.org/id/person-institution/61143,
Jupiter Karios,,http://collection.britishmuseum.org/id/person-institution/58921,
Jupiter Lanrandeus,,http://collection.britishmuseum.org/id/person-institution/58921,
Jupiter?,,,
Justitia,,,
Juventas,,http://collection.britishmuseum.org/id/person-institution/186067,
Laetitia,,,
Liber,,http://collection.britishmuseum.org/id/person-institution/175498,
Liberalias,Liberalitas,http://collection.britishmuseum.org/id/person-institution/59099,
Liberalitas,,http://collection.britishmuseum.org/id/person-institution/59099,
Liberitas,Libertas,http://collection.britishmuseum.org/id/person-institution/59100,
Libertas,,http://collection.britishmuseum.org/id/person-institution/59100,
Libya,,,
Livia,[delete],,
Luna,,,
Lunus,,,
Macedonia,,,
Magna Mater,,,
Maia,,http://collection.britishmuseum.org/id/person-institution/182064,
Mars,,http://collection.britishmuseum.org/id/person-institution/59284,
Mauretania,,,
Medusa,,http://collection.britishmuseum.org/id/person-institution/59294,
Mercury,,http://collection.britishmuseum.org/id/person-institution/58637,
Minerva,,http://collection.britishmuseum.org/id/person-institution/57060,
Minvera,Minerva,,
Moesia,,,
Moneta,,http://collection.britishmuseum.org/id/person-institution/75120,
Monetae,Tres Monetae,http://collection.britishmuseum.org/id/person-institution/75120,
Moor,[delete],,
Munificentia,,,
Nemeses,Nemesis,http://collection.britishmuseum.org/id/person-institution/59551,
Nemesis,,http://collection.britishmuseum.org/id/person-institution/59551,
Neptuna,Neptune,http://collection.britishmuseum.org/id/person-institution/59828,
Neptune,,http://collection.britishmuseum.org/id/person-institution/59828,
Neptune?,,,
Nicomedia,,,
Nilus,,http://collection.britishmuseum.org/id/person-institution/59564,
Nobilitas,,,
Noricum,,,
Ocean,Oceanus,http://collection.britishmuseum.org/id/person-institution/59649,
Odysseus,,http://collection.britishmuseum.org/id/person-institution/60883,
Ops,,http://collection.britishmuseum.org/id/person-institution/132605,
Orontes,,http://collection.britishmuseum.org/id/person-institution/59671,
Pan,,http://collection.britishmuseum.org/id/person-institution/59726,
Pannonia,,,
Parthia,,,
Pathia,Parthia,,
Patientia,,,
Pax,,http://collection.britishmuseum.org/id/person-institution/76227,
Pax Nemesis,[split],,
Pax-Nemesis,[split],,
Pax?,,,
Pegasus,,http://collection.britishmuseum.org/id/person-institution/59743,
Perpetuitas,,http://collection.britishmuseum.org/id/person-institution/169677,
Phoenicia,,,
Phrygia,,,
Piesta,Pietas,http://collection.britishmuseum.org/id/person-institution/59792,
Pietas,,http://collection.britishmuseum.org/id/person-institution/59792,
Pluto,,http://collection.britishmuseum.org/id/person-institution/59809,
Pollux,,http://collection.britishmuseum.org/id/person-institution/57951,
Proserpina,,http://collection.britishmuseum.org/id/person-institution/59758,
Providentia,,http://collection.britishmuseum.org/id/person-institution/59843,
Pudicitia,,http://collection.britishmuseum.org/id/person-institution/132743,
Remus,,http://collection.britishmuseum.org/id/person-institution/60203,
Rhea Silvia,,http://collection.britishmuseum.org/id/person-institution/60206,
Rhenus,,,
River god,[delete],,
Roma,,http://collection.britishmuseum.org/id/person-institution/60208,
Roma (or Virtus),[split],,
Roma Victrix,,http://collection.britishmuseum.org/id/person-institution/60208,
Roma?,,,
Romulus,,http://collection.britishmuseum.org/id/person-institution/60209,
Saeculum Frugiferum,,http://collection.britishmuseum.org/id/person-institution/188366,
Salus,,http://collection.britishmuseum.org/id/person-institution/58668,
Salus Augusta,,http://collection.britishmuseum.org/id/person-institution/58668,
Sarapis,Serapis,http://collection.britishmuseum.org/id/person-institution/60374,
Saturn,,http://collection.britishmuseum.org/id/person-institution/58996,
Scylla,,,
Scythia,,,
Securitas,,http://collection.britishmuseum.org/id/person-institution/98260,
Serapis,,http://collection.britishmuseum.org/id/person-institution/60374,
She-Wolf,,,
Sicilia,,,
Silenus,,http://collection.britishmuseum.org/id/person-institution/60385,
Sol,,http://collection.britishmuseum.org/id/person-institution/58616,
Spes,,http://collection.britishmuseum.org/id/person-institution/58658,
Syria,,,
Telesphorus,,http://collection.britishmuseum.org/id/person-institution/60691,
Tellus,,http://collection.britishmuseum.org/id/person-institution/60692,
Terra,,,
Thracia,,,
Three Graces,,http://collection.britishmuseum.org/id/person-institution/58409,
Three Moneta,Tres Monetae,,
Three Monetae,Tres Monetae,,
Tiber,,http://collection.britishmuseum.org/id/person-institution/159682,
Tigris,,,
Tranquilitas,,,
Tranquillitas,Tranquilitas,,
Triton,,http://collection.britishmuseum.org/id/person-institution/60755,
Tutela,,http://collection.britishmuseum.org/id/person-institution/60762,
Tyche,,http://collection.britishmuseum.org/id/person-institution/58260,
Unidentified female deity,[delete],,
Ubertas,,,
Valeria Luperca,,,
Venus,,http://collection.britishmuseum.org/id/person-institution/56979,
Venus Aphrodisias,,http://collection.britishmuseum.org/id/person-institution/56979,
Venus Felix,,http://collection.britishmuseum.org/id/person-institution/56979,
Venus Fortuna,,http://collection.britishmuseum.org/id/person-institution/56979,
Venus Genetrix,,http://collection.britishmuseum.org/id/person-institution/56979,
Vesta,,http://collection.britishmuseum.org/id/person-institution/60911,
Vesta?,,,
Via Traiana,Via Trajana,,
Via Trajana,"
",,
Victory,,http://collection.britishmuseum.org/id/person-institution/60915,
Victory?,,,
Virtus,,http://collection.britishmuseum.org/id/person-institution/80685,
Vulcan,,http://collection.britishmuseum.org/id/person-institution/58623,
http://nomisma.org/id/septimius_severus,[delete],,
italia,Italia,,
providentia,Providentia,,
river god,[delete],,
sea-god,[delete],,
the Four Seasons,Four Seasons,http://collection.britishmuseum.org/id/person-institution/71928,
unidentified female deity,[delete],,
unidentified female diety,[delete],,
unidentified youth,[delete],,
unknown female,[delete],,
